
2024/07/27 (21:34:17) | ===> btop++ v.1.3.2
2024/07/27 (21:34:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/28 (21:44:59) | ===> btop++ v.1.3.2
2024/07/28 (21:44:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/28 (21:46:52) | ===> btop++ v.1.3.2
2024/07/28 (21:46:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/28 (21:47:37) | ===> btop++ v.1.3.2
2024/07/28 (21:47:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/28 (21:48:17) | ===> btop++ v.1.3.2
2024/07/28 (21:48:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/28 (22:24:50) | ===> btop++ v.1.3.2
2024/07/28 (22:24:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/03 (12:26:27) | ===> btop++ v.1.3.2
2024/08/03 (12:26:27) | WARNING: Failed to set locale UTF-8 continuing anyway.
